 Address,DayofYear,SellingDate,SellingPrice,ListingPrice,DaysonMarket,ZIP,Bedrooms,Bathrooms,TotalSqFt,YearBuilt,Garage,PriceSqFt
4320 E,81,3/22/2018,83500,97500,100,68510,2,1,672,1952,0,124.26
3241 E Summit Blvd,75,3/16/2018,149000,152500,79,68502,3,1,1242,1952,1,119.97
167 Laramie Trl,68,3/9/2018,130000,130000,102,68521,2,1.5,816,1979,1,159.31
409 W Belmont Ave,64,3/5/2018,152500,159900,105,68521,4,2.5,1092,2006,2,139.65
3600 NW Michael,61,3/2/2018,105600,104900,78,68524,3,1,1201,1955,1,87.27
4402 Waterbury Ln,61,3/2/2018,158000,164000,106,68516,2,2,1612,1977,2,98.01
2539 Woods Blvd,60,3/1/2018,165000,170000,72,68502,3,1.25,1622,1958,1,101.73
1000 N 52,60,3/1/2018,83000,89900,101,68504,2,1,720,1959,1,115.28
2727 Sumner St,60,3/1/2018,130000,131900,104,68502,3,2,1185,1925,0,109.7
2910 N 45th St,60,3/1/2018,109500,113800,119,68504,3,1,672,1955,1.5,162.95
5221 Melrose,59,2/28/2018,150000,165000,64,68506,2,1.75,1120,1976,2,133.93
3929 Sheridan Blvd,59,2/28/2018,140000,145000,163,68506,4,2,884,1926,0,158.37
7315 Englewood Dr,58,2/27/2018,144900,144900,81,68510,3,1.5,980,1963,1,147.86
600 Trail Ridge Rd,33,2/2/2018,147355,159500,63,68505,3,1.5,1412,1963,2,104.36
601 Eldon Dr,33,2/2/2018,153000,150000,82,68510,3,1.5,1092,1953,1.5,140.11
2829 S 34th St,32,2/1/2018,115000,115000,56,68506,2,1,1134,1952,1,101.41
3510 N Miller Rd,29,1/29/2018,128000,128000,47,68521,1,2,792,1985,1,161.62
4510 S 54 St,29,1/29/2018,147000,149750,104,68516,3,1.5,1107,1961,1.5,132.79
3025 N 60th St,26,1/26/2018,124900,124900,42,68507,3,1,1428,1953,1,87.47
4806 Tipperary Trl,26,1/26/2018,162000,160000,44,68512,3,1.75,840,1971,1,192.86
1301 S 7th St,19,1/19/2018,91000,93000,60,68502,2,1.5,869,1900,1,104.72
3264 Normal Blvd,18,1/18/2018,87000,87000,34,68506,2,1.75,847,1950,0,102.72
220 Groveland St,16,1/16/2018,165000,165000,68,68521,2,3,1134,1992,2,145.5
3400 N 53rd St,10,1/10/2018,150500,149900,36,68504,3,1.75,775,1955,1,194.19
1720 Crestline Dr,5,1/5/2018,132000,127000,15,68506,3,1.75,1170,1956,1,112.82
7049 Dudley St,5,1/5/2018,115000,110000,32,68505,2,1.75,792,1961,1,145.2
3851 D St,5,1/5/2018,153000,153000,51,68510,3,1.5,916,1947,1,167.03
5240 S 52nd St,5,1/5/2018,147000,147000,127,68516,3,1.75,1196,1972,2.5,122.91
4521 Lewis Ave,4,1/4/2018,133000,131700,44,68521,3,1.75,948,1973,0,140.3
5809 Berkeley Dr #7,3,1/3/2018,145000,149950,36,68512,2,2.25,1196,1982,1,121.24
