PLAYER,TEAM,POSITION,AGE,MP,FG,FGA,FGperc,3P,3PA,3Pperc,2P,2PA,2Pperc,FT,FTA,FTperc,ORB,AST,POINTS,SALARYMILL,FAVORITES
Kevin Durant,GS,SF,28,33.4,8.9,16.5,0.54,1.9,5,0.38,7,11.5,0.61,5.4,6.2,0.88,0.6,4.8,25.1,26.5,1425.5
Kyrie Irving,CLE,PG,24,35.1,9.3,19.7,0.47,2.5,6.1,0.4,6.9,13.6,0.51,4.1,4.6,0.91,0.7,5.8,25.2,17.64,1541
Dwyane Wade,CHI,SG,35,29.9,6.9,15.9,0.43,0.8,2.4,0.31,6.2,13.5,0.46,3.7,4.7,0.79,1.1,3.8,18.3,23.2,349.5
Russell Westbrook,OKC,PG,28,34.6,10.2,24,0.43,2.5,7.2,0.34,7.7,16.8,0.46,8.8,10.4,0.85,1.7,10.4,31.6,26.5,2130.5
Carmelo Anthony,NY,SF,32,34.3,8.1,18.8,0.43,2,5.7,0.36,6.1,13.1,0.47,4.1,4.9,0.83,0.8,2.9,22.4,24.56,720.5
Klay Thompson,GS,SG,26,34,8.3,17.6,0.47,3.4,8.3,0.41,4.8,9.3,0.52,2.4,2.8,0.85,0.6,2.1,22.3,16.66,797
James Harden,HOU,PG,27,36.4,8.3,18.9,0.44,3.2,9.3,0.35,5.1,9.6,0.53,9.2,10.9,0.85,1.2,11.2,29.1,26.5,969
Derrick Rose,NY,PG,28,32.5,7.2,15.3,0.47,0.2,0.9,0.22,7,14.3,0.49,3.5,4,0.87,1,4.4,18,21.32,1864
Jeremy Lin,BKN,PG,28,24.5,4.9,11.1,0.44,1.6,4.3,0.37,3.3,6.8,0.48,3.2,3.9,0.82,0.3,5.1,14.5,11.48,936.5
Dirk Nowitzki,DAL,PF,38,26.4,5.5,12.6,0.44,1.5,3.9,0.38,4,8.7,0.46,1.8,2.1,0.88,0.4,1.5,14.2,25,1564
Draymond Green,GS,PF,26,32.5,3.6,8.6,0.42,1.1,3.5,0.31,2.5,5.1,0.49,2,2.8,0.71,1.3,7,10.2,15.33,627
Kris Humphries,ATL,PF,31,12.3,1.6,3.8,0.41,0.3,1,0.35,1.2,2.9,0.43,1.1,1.5,0.78,1.1,0.5,4.6,4,67
Vince Carter,MEM,SF,40,24.6,2.6,6.7,0.39,1.5,4.1,0.38,1.1,2.7,0.42,1.2,1.6,0.77,0.5,1.8,8,4.26,0
Chris Paul,LAC,PG,31,31.5,6.1,12.9,0.48,2,5,0.41,4.1,7.9,0.52,3.8,4.3,0.89,0.7,9.2,18.1,22.87,829
Dwight Howard,ATL,C,31,29.7,5.2,8.3,0.63,0,0,0,5.2,8.3,0.64,3.1,5.7,0.53,4,1.4,13.5,23.18,7
Kawhi Leonard,SA,SF,25,33.4,8.6,17.7,0.49,2,5.2,0.38,6.6,12.5,0.53,6.3,7.2,0.88,1.1,3.5,25.5,17.64,2701.5
Blake Griffin,LAC,PF,27,34,7.9,15.9,0.49,0.6,1.9,0.34,7.2,14.1,0.51,5.2,6.9,0.76,1.8,4.9,21.6,20.14,269
Karl-Anthony Towns,MIN,C,21,37,9.8,18,0.54,1.2,3.4,0.37,8.5,14.7,0.58,4.3,5.2,0.83,3.6,2.7,25.1,5.96,0
Kevin Love,CLE,PF,28,31.4,6.2,14.5,0.43,2.4,6.5,0.37,3.8,8,0.47,4.3,4.9,0.87,2.5,1.9,19,21.17,866.5
Pau Gasol,SA,C,36,25.4,4.7,9.4,0.5,0.9,1.6,0.54,3.9,7.8,0.49,2,2.9,0.71,1.7,2.3,12.4,15.5,882.5
Damian Lillard,POR,PG,26,35.9,8.8,19.8,0.44,2.9,7.7,0.37,6,12.1,0.49,6.5,7.3,0.9,0.6,5.9,27,24.33,186.5
Andrew Wiggins,MIN,SF,21,37.2,8.6,19.1,0.45,1.3,3.5,0.36,7.4,15.6,0.47,5,6.6,0.76,1.2,2.3,23.6,6.01,182
Rajon Rondo,CHI,PG,30,26.7,3.3,8.1,0.41,0.7,1.9,0.38,2.6,6.2,0.42,0.4,0.7,0.6,1.1,6.7,7.8,14,185.5
Andre Iguodala,GS,SF,33,26.3,2.9,5.5,0.53,0.8,2.3,0.36,2,3.1,0.65,0.9,1.3,0.71,0.7,3.4,7.6,11.13,300.5
Paul Pierce,LAC,SF,39,11.1,1.1,2.8,0.4,0.6,1.7,0.35,0.5,1.1,0.48,0.4,0.5,0.77,0,0.4,3.2,3.53,346.5
DeMarcus Cousins,NO/SAC,C,26,34.2,9,19.9,0.45,1.8,5,0.36,7.2,14.8,0.48,7.2,9.3,0.77,2.1,4.6,27,16.96,102
Paul George,IND,SF,26,35.9,8.3,18,0.46,2.6,6.6,0.39,5.7,11.4,0.5,4.5,5,0.9,0.8,3.3,23.7,18.31,228.5
Andrew Bogut,CLE/DAL,C,32,21.6,1.4,3,0.47,0,0,0,1.4,3,0.48,0.1,0.4,0.27,2.1,1.8,2.9,0.24,57
Jordan Clarkson,LAL,SG,24,29.2,5.8,13.1,0.45,1.4,4.3,0.33,4.4,8.7,0.5,1.6,2,0.8,0.6,2.6,14.7,12.5,55.5
Tristan Thompson,CLE,C,25,29.9,3.4,5.6,0.6,0,0,0,3.4,5.6,0.6,1.4,2.7,0.5,3.7,1,8.1,15.33,368
D'Angelo Russell,LAL,PG,20,28.7,5.6,13.8,0.41,2.1,6.1,0.35,3.4,7.7,0.45,2.3,3,0.78,0.5,4.8,15.6,5.33,0
Devin Booker,PHX,SG,20,35,7.8,18.3,0.42,1.9,5.2,0.36,5.9,13.2,0.45,4.7,5.7,0.83,0.6,3.4,22.1,2.22,1170.5
Brandon Ingram,LAL,SF,19,28.8,3.5,8.7,0.4,0.7,2.4,0.29,2.8,6.3,0.44,1.7,2.7,0.62,0.8,2.1,9.4,5.28,194
Joakim Noah,NY,C,31,22.1,2.2,4.4,0.49,0,0,0,2.2,4.4,0.49,0.7,1.7,0.44,3.5,2.2,5,17,0
Steven Adams,OKC,C,23,29.9,4.7,8.2,0.57,0,0,0,4.7,8.2,0.57,2,3.2,0.61,3.5,1.1,11.3,3.14,36
Zach LaVine,MIN,SG,21,37.2,6.9,15.1,0.46,2.6,6.6,0.39,4.4,8.5,0.52,2.5,3,0.84,0.4,3,18.9,2.24,178.5
Jamal Crawford,LAC,SG,36,26.3,4.4,10.6,0.41,1.4,3.9,0.36,3,6.7,0.44,2.1,2.5,0.86,0.2,2.6,12.3,13.25,49
Thon Maker,MIL,C,19,9.9,1.5,3.2,0.46,0.5,1.3,0.38,1,1.9,0.51,0.6,0.9,0.65,0.7,0.4,4,2.57,0
LaMarcus Aldridge,SA,PF,31,32.4,6.9,14.6,0.48,0.3,0.8,0.41,6.6,13.8,0.48,3.1,3.8,0.81,2.4,1.9,17.3,20.58,195
Michael Beasley,MIL,PF,28,16.7,3.9,7.3,0.53,0.3,0.8,0.42,3.5,6.5,0.55,1.4,1.9,0.74,0.7,0.9,9.4,1.4,8
Matthew Dellavedova,MIL,PG,26,26.1,2.7,7,0.39,1,2.8,0.37,1.7,4.2,0.4,1.1,1.3,0.85,0.3,4.7,7.6,9.61,175
Al Horford,BOS,C,30,32.3,5.6,11.8,0.47,1.3,3.6,0.36,4.3,8.2,0.52,1.6,2,0.8,1.4,5,14,26.54,136
Kyle Korver,ATL/CLE,SG,35,26.2,3.6,7.7,0.46,2.4,5.4,0.45,1.1,2.3,0.49,0.6,0.6,0.91,0.1,1.6,10.1,5.24,107.5
Luol Deng,LAL,SF,31,26.5,2.9,7.6,0.39,0.9,2.9,0.31,2,4.6,0.44,0.8,1.1,0.73,1.1,1.3,7.6,18,22
Marc Gasol,MEM,C,32,34.2,7.2,15.7,0.46,1.4,3.6,0.39,5.8,12.1,0.48,3.8,4.5,0.84,0.8,4.6,19.5,21.17,0
Jabari Parker,MIL,PF,21,33.9,7.8,16,0.49,1.3,3.5,0.37,6.5,12.5,0.53,3.2,4.3,0.74,1.5,2.8,20.1,5.37,267
Buddy Hield,NO/SAC,SG,23,23,4,9.4,0.43,1.8,4.6,0.39,2.2,4.7,0.46,0.8,0.9,0.84,0.4,1.5,10.6,3.52,512
JaVale McGee,GS,C,29,9.6,2.7,4.1,0.65,0,0,0,2.7,4.1,0.66,0.7,1.4,0.51,1.3,0.2,6.1,1.4,0
Ricky Rubio,MIN,PG,26,32.9,3.5,8.7,0.4,0.8,2.6,0.31,2.7,6.1,0.44,3.4,3.8,0.89,0.9,9.1,11.1,13.55,262.5
Victor Oladipo,OKC,SG,24,33.2,6.1,13.9,0.44,1.9,5.3,0.36,4.3,8.7,0.49,1.7,2.3,0.75,0.6,2.6,15.9,6.55,78
