Team,Rank,Top25,GP,sweet16,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Gonzaga,5,1,3,Yes,39.8,81,30,64.3,0.466,6.3,22,0.288,14.7,24.7,0.595,12.3,33,45.3,16.7,4,5.3,9.7,16.7
Arizona,6,1,3,Yes,41.7,77.3,27.3,60.7,0.451,7.7,23,0.333,15,20,0.75,13.3,28.3,41.7,16.3,7,5.3,16.3,19.7
Kansas,1,1,6,Yes,40.1,76.2,28.3,61.3,0.462,7.2,18,0.398,12.3,18.3,0.673,10.3,30.5,40.8,14.7,5.5,5.2,9.8,16.2
Baylor,9,1,2,No,42.5,85.5,29.5,67.5,0.437,10,32,0.312,16.5,24,0.688,14.5,23.5,38,17.5,8,4,10.5,20.5
Villanova,4,1,5,Yes,39.9,65.8,22,55,0.4,9.6,26.6,0.361,12.2,13.8,0.884,11,22.8,33.8,10.6,4.6,1.8,9.2,12.6
Kentucky,17,1,1,No,45.2,79,26,61,0.426,4,15,0.267,23,35,0.657,14,22,36,18,6,6,13,17
Auburn,14,1,2,No,40,70.5,24.5,66,0.371,7,25,0.28,14.5,20.5,0.707,18,30.5,48.5,17,1.5,9,12,18
Duke,3,1,5,Yes,40,79.2,29.8,58.6,0.509,6,17.2,0.349,13.6,17,0.8,9.4,26,35.4,13.4,5.8,6.2,10.4,13.6
Purdue,10,1,3,Yes,40,74.3,22,49.3,0.446,6,20,0.3,24.3,31.3,0.777,10.3,29.7,40,12,5,3,13,15.7
UCLA,11,1,3,Yes,40,65,24.3,54,0.451,5.7,15,0.378,10.7,13.3,0.8,7.7,24,31.7,13,6.3,3.3,6.7,11.3
Texas Tech,12,1,3,Yes,40,76.3,29.3,59.7,0.492,7.3,18,0.407,10.3,15,0.689,10.3,25.7,36,15,6,4,9.3,16
Providence,13,1,3,Yes,39.9,68.7,25,61,0.41,8,22.3,0.358,10.7,14,0.762,19.7,28.3,48,13.7,5,2.7,9,16
Wisconsin,18,1,2,No,40,58,20,54.5,0.367,4,19.5,0.205,14,18.5,0.757,10,26.5,36.5,11,5.5,5,11,14
Iowa,21,1,1,No,40,63,24,66,0.364,6,29,0.207,9,12,0.75,14,26,40,14,5,3,11,18
Arkansas,8,1,4,Yes,40,67.8,23.2,60.2,0.386,5.8,20.5,0.28,15.5,18.8,0.827,7.2,27.8,35,11.8,6.5,3.8,9,17
Saint Mary's,20,1,2,No,39.9,69,25.5,54.5,0.468,8.5,21,0.405,9.5,13.5,0.704,9,23,32,14,5.5,2,9.5,15
Illinois,19,1,2,No,40,53.5,18,49.5,0.364,4.5,21,0.214,13,19,0.684,10,27,37,12,5.5,3,15.5,15.5
