Player,Age,Team,Position,Games_Played,Goals,Assists,PTS,plus_minus,TOI_avg
Nikita Kucherov,30,TBL,RW,81,44,100,144,8,21:40
Nathan Mackinnon,28,COL,C,82,51,89,140,35,22:49
Connor McDavid,27,EDM,C,76,32,100,132,35,21:22
Artemi Panarin,32,NYR,LW,82,49,71,120,18,20:07
David Pastrnak,27,BOS,RW,82,47,63,110,21,19:56
Auston Matthews,26,TOR,C,81,69,38,107,31,20:58
Leon Draisaitl ,28,EDM,C,81,41,65,106,26,20:42
Mikko Rantanen,27,COL,RW,80,42,62,104,19,22:54
JT Miller,30,VAN,C,81,37,66,103,32,19:29
Willaim Nylander,27,TOR,C,82,40,58,98,1,19:55
Kirill Kaprizov,26,MIN,LW,75,46,50,96,11,21:35
Sidney Crosby,36,PIT,C,82,42,52,94,7,20:05
Filip Forsberg,29,NSH,C,82,48,46,94,16,18:54
Sam Reinhart,28,FLA,C,82,57,37,94,29,20:18
Quinn Hughes,24,VAN,D,82,17,75,92,38,24:41:00
Cale Makar,25,COL,D,77,21,69,90,15,24:46:00
Brayden Point,27,TBL,C,81,46,44,90,-16,20:02
Sebastian Aho,26,CAR,F,78,36,53,89,34,19:38
Elias Pettersson,25,VAN,C,82,34,55,89,20,19:39
Matthew Tkachuk,26,FLA,LW,80,26,62,88,19,18:38
Robert Thomas,24,STL,C,82,26,60,86,9,20:58
Roman Josi,33,NSH,D,82,23,62,85,12,24:38:00
Mitch Marner,26,TOR,RW,69,26,59,85,21,21:17
Jesper Bratt,25,NJD,W,82,27,56,83,-6,19:18
Evan Bouchard,24,EDM,D,81,18,64,82,34,23:00
