 Street Full Address ,SellingPrice,ListingPrice, DaysonMarket , Bedrooms , Bathrooms , SqFt , Year Built , Garage 
 2501 Jameson N,160000,175000,63,3,2.25,"1,492.00","1,974",3.5
 1655 Harrison Ave,160000,159000,33,3,1.75,789,"1,936",1
 1859 SW 26 St,160000,164900,63,3,1.75,976,"2,004",2
 3820 Castle Cir,160000,159900,56,3,1.75,"1,869.00","1,957",1
 4100 N 25th St,160000,167900,64,4,2,962,"2,003",2
 2349 Burnham St,160000,158900,46,3,2,"1,253.00","1,955",2
 4710 S 56th St,160000,159000,29,3,3,"1,125.00","1,973",2
 4721 S 58 St,160000,159900,46,3,1.75,"1,040.00","1,976",1
 924 Mulder Dr,160000,164000,96,3,2.25,"1,524.00","1,956",2
 6409 Boxelder Dr,160100,159900,44,3,2.25,"2,143.00","1,979",2
 2525 S 13th St,160500,167900,155,3,2.25,"1,854.00","1,920",2
 5110 Myrtle St,161000,159999,47,3,2,"1,247.00","1,961",1
 4806 Tipperary Trl,162000,160000,44,3,1.75,840,"1,971",1
 6820 South St,162000,159900,12,3,2.25,"1,485.00","1,963",2
 3231 N 3rd St,162000,162000,40,3,1.75,988,"1,994",2.5
 600 Driftwood Dr,162000,164999,51,3,2.5,"1,203.00","1,964",1
 2141 NW 53 St,162500,162500,36,3,2,976,"2,002",2
 6150 NW 9th,163900,159900,44,3,2.25,"1,344.00","1,978",2
 4915 S 54th St,164000,160000,41,3,2.25,"1,020.00","1,974",2
 5536 Stonecliffe,164000,164000,57,3,1.75,"1,092.00","1,973",2
 615 Elmwood Ave,164150,169900,53,3,2.25,"1,728.00","1,915", -   
 1131 S 84th St,164900,164900,48,3,1.75,"1,040.00","1,977",2
 1250 S 25 St,164900,164900,49,3,1.75,936,"1,900",2
 2539 Woods Blvd,165000,170000,72,3,1.25,"1,622.00","1,958",1
 2717 Anderson Dr,165000,164900,31,3,2,"1,370.00","1,958",1
 220 Groveland St,165000,165000,68,2,3,"1,134.00","1,992",2
 8848 Sicily Ln,165000,165000,42,3,2.25,"1,739.00","2,004",2
 3005 W Kyle Ln,165000,169950,84,3,2.5,"1,385.00","2,005",2
 5343 W Cleveland Ave,165000,165000,42,3,2.25,"1,200.00","2,000",2
 524 Trail Ridge Rd,165000,168900,49,3,2,"1,080.00","1,965",1
 1326 Peach St,165000,170000,85,7,3.5,"2,122.00","1,920",1
 920 Eldon Dr,165000,169999,49,3,2.25,"1,375.00","1,956",1
 2530 Marilynn Ave,165000,184900,107,3,2.25, -   ,"1,971",2
 4131 W Leighton,165000,165000,46,4,2,820,"2,004",2
 6447 Boxelder Dr,165000,169900,78,2,2.25,"2,583.00","1,979",2
 901 Smoky Hill Rd,165500,152000,35,3,2.25,"1,319.00","1,977",2
 3100 Sequoia Dr,165500,165900,42,3,1.75,"1,014.00","1,988",2
 2930 NW 8th St,166000,167500,57,3,1.75,975,"1,994",2
 3731 Linden St,166000,165500,49,2,1.75,954,"1,963",2
 5540 Buffalo Cir,166000,169900,44,3,2,"1,232.00","1,986",2
